Aircraft: Plane_3160 | Average Fuel Consumption: 0.00030845
Aircraft: Plane_1273 | Average Fuel Consumption: 0.0636718
Aircraft: Plane_8805 | Average Fuel Consumption: 0.000280227
Aircraft: Plane_2461 | Average Fuel Consumption: 0.0638427
Aircraft: Plane_1086 | Average Fuel Consumption: 0.000272723
Aircraft: Plane_9151 | Average Fuel Consumption: 0.0650101
Aircraft: Plane_4925 | Average Fuel Consumption: 0.00027023
Aircraft: Plane_6713 | Average Fuel Consumption: 0.0636958
Aircraft: Plane_8514 | Average Fuel Consumption: 0.000302391
Aircraft: Plane_9482 | Average Fuel Consumption: 0.0637101
Aircraft: Plane_3769 | Average Fuel Consumption: 0.063741
Aircraft: Plane_1162 | Average Fuel Consumption: 0.00029892
Aircraft: Plane_5233 | Average Fuel Consumption: 0.0638146
Aircraft: Plane_6604 | Average Fuel Consumption: 0.0002781
Aircraft: Plane_1854 | Average Fuel Consumption: 9.91667e-05
Aircraft: Plane_7964 | Average Fuel Consumption: 0.000307231
Aircraft: Plane_6557 | Average Fuel Consumption: 0.0634766
Aircraft: Plane_7369 | Average Fuel Consumption: 0.000280857
Aircraft: Plane_7579 | Average Fuel Consumption: 0.000298833
Aircraft: Plane_5119 | Average Fuel Consumption: 0.0633224
Aircraft: Plane_2218 | Average Fuel Consumption: 0.0635037
Aircraft: Plane_5707 | Average Fuel Consumption: 9.87647e-05
Aircraft: Plane_8329 | Average Fuel Consumption: 9.89333e-05
Aircraft: Plane_2665 | Average Fuel Consumption: 0.0002972
Aircraft: Plane_5660 | Average Fuel Consumption: 9.88e-05
Aircraft: Plane_2230 | Average Fuel Consumption: 9.88e-05
Aircraft: Plane_6690 | Average Fuel Consumption: 9.88e-05
Aircraft: Plane_6861 | Average Fuel Consumption: 0.0636718
Aircraft: Plane_3163 | Average Fuel Consumption: 9.88e-05
Aircraft: Plane_5781 | Average Fuel Consumption: 0.0002781
Aircraft: Plane_9126 | Average Fuel Consumption: 9.88e-05
Aircraft: Plane_4151 | Average Fuel Consumption: 0.0002781
Aircraft: Plane_5844 | Average Fuel Consumption: 0.0002972
